mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
1730.0,0.00400698,26.7386,0.0043,16.97
1735.0,0.00389655,26.7109,0.00418,17.01
1740.0,0.00379497,26.8072,0.00407,17.05
1745.0,0.00370003,27.04,0.00396,17.09
1750.0,0.00359842,27.1502,0.00385,17.13
1755.0,0.00350486,27.229,0.00375,17.18
1760.0,0.00341375,27.3209,0.00365,17.22
1765.0,0.00332255,27.416,0.00355,17.26
1770.0,0.00323809,27.6458,0.00345,17.3
1775.0,0.00314866,27.5834,0.00336,17.34
1780.0,0.00306841,27.6481,0.00327,17.39
1785.0,0.00298808,27.7145,0.00318,17.43
1790.0,0.00291365,27.9548,0.0031,17.47
1795.0,0.0028312,28.0642,0.00301,17.51
1800.0,0.00276133,28.108,0.00293,17.56
1805.0,0.00269156,28.1566,0.00286,17.6
1810.0,0.00262156,28.2017,0.00278,17.64
1815.0,0.00254938,28.2755,0.00271,17.69
1820.0,0.00248581,28.5102,0.00263,17.73
1825.0,0.00241549,28.5869,0.00256,17.77
1830.0,0.00235625,28.6103,0.00249,17.82
1835.0,0.00229576,28.596,0.00243,17.86
1840.0,0.00223603,28.6654,0.00236,17.9
1845.0,0.00218302,28.8949,0.0023,17.95
1850.0,0.00212345,28.9167,0.00224,17.99
1855.0,0.00207,29.1835,0.00218,18.04
1860.0,0.00200972,29.1901,0.00212,18.08
1865.0,0.00196025,29.2103,0.00207,18.13
1870.0,0.00191132,29.1893,0.00201,18.17
1875.0,0.00185789,29.4928,0.00196,18.22
1880.0,0.00181527,29.723,0.00191,18.26
1885.0,0.00176658,29.7236,0.00186,18.31
1890.0,0.00172274,29.9813,0.00181,18.35
1895.0,0.00167806,29.6455,0.00176,18.4
1900.0,0.00163547,29.9045,0.00171,18.45
1905.0,0.0015925,30.2039,0.00167,18.49
1910.0,0.00155445,30.1015,0.00163,18.54
1915.0,0.00151503,30.0356,0.00158,18.59
1920.0,0.00147199,30.3575,0.00154,18.63
1925.0,0.0014401,30.5951,0.0015,18.68
1930.0,0.0014016,30.5171,0.00146,18.73
1935.0,0.00136297,30.4873,0.00142,18.78
1940.0,0.001331,30.7414,0.00139,18.82
1945.0,0.001299,31.0066,0.00135,18.87
1950.0,0.0012642,30.4581,0.00131,18.92
1955.0,0.00123087,30.8644,0.00128,18.97
1960.0,0.00120048,30.9669,0.00125,19.02
1965.0,0.00117053,31.0216,0.00121,19.07
1970.0,0.00114051,31.0814,0.00118,19.12
1975.0,0.00111722,31.5357,0.00115,19.17
1980.0,0.00108758,31.5568,0.00112,19.22
1985.0,0.00105813,31.5103,0.00109,19.27
1990.0,0.00102936,31.4167,0.00106,19.32
1995.0,0.00100614,31.7628,0.00104,19.37
2000.0,0.000981077,31.8422,0.00101,19.42
2005.0,0.000956613,31.9751,0.000983,19.48
2010.0,0.000932325,32.0882,0.000957,19.53
2015.0,0.000909408,32.1466,0.000933,19.58
2020.0,0.000886417,32.2175,0.000908,19.64
2025.0,0.000863806,32.3142,0.000885,19.69
2030.0,0.00084231,32.4635,0.000862,19.74
2035.0,0.000821016,32.5832,0.00084,19.8
2040.0,0.00080083,32.6879,0.000818,19.85
2045.0,0.000781098,32.7197,0.000797,19.91
2050.0,0.000761286,32.9341,0.000776,19.96
2055.0,0.000742602,32.9529,0.000756,20.02
2060.0,0.000724162,33.1309,0.000737,20.07
2065.0,0.000706078,33.2221,0.000718,20.13
2070.0,0.000688773,33.2606,0.000699,20.19
2075.0,0.000671106,33.47,0.000681,20.25
2080.0,0.000654555,33.4624,0.000664,20.3
2085.0,0.000638154,33.6239,0.000647,20.36
2090.0,0.000622299,33.6944,0.00063,20.42
2095.0,0.000606772,33.8846,0.000614,20.48
2100.0,0.000591918,33.9326,0.000598,20.54
2105.0,0.000577016,33.9891,0.000583,20.6
2110.0,0.000562775,34.126,0.000568,20.66
2115.0,0.000548803,34.1942,0.000553,20.72
2120.0,0.000535625,34.3143,0.000539,20.78
2125.0,0.000522481,34.4322,0.000525,20.84
2130.0,0.000509317,34.5795,0.000512,20.9
2135.0,0.000496197,34.6013,0.000499,20.97
2140.0,0.000484078,34.712,0.000486,21.03
2145.0,0.000472404,34.6967,0.000473,21.09
2150.0,0.000460941,34.9082,0.000461,21.16
2155.0,0.00044976,35.0413,0.000449,21.22
2160.0,0.000438717,35.1403,0.000438,21.29
2165.0,0.000427663,35.2429,0.000427,21.35
2170.0,0.000417087,35.2067,0.000416,21.42
2175.0,0.000406541,35.4714,0.000405,21.48
2180.0,0.000396549,35.5491,0.000395,21.55
2185.0,0.000387227,35.7425,0.000385,21.62
2190.0,0.000377685,35.6672,0.000375,21.69
2195.0,0.00036824,35.9098,0.000365,21.76
2200.0,0.000359318,35.9623,0.000356,21.83
2205.0,0.000350402,36.0185,0.000347,21.9
2210.0,0.000342071,36.245,0.000338,21.97
2215.0,0.000333108,36.3203,0.00033,22.04
2220.0,0.000325306,36.3282,0.000321,22.11
2225.0,0.000316997,36.5413,0.000313,22.18
